Product Name,Product Type,Quantity,Cost of Goods Sold,Net Sales,Gross Profit
Allstar Innovations 厨用智能剪 二合一剪刀,life,9.00,23.85,63.03,39.18
Marcus&Marcus 儿童不锈钢勺叉训练餐具套装,maternal,17.00,178.23,217.39,39.16
Marcus&Marcus 婴儿硅胶强力吸盘餐碟,maternal,7.00,84.98,124.13,39.15
老胡子 萧山萝卜干 250G,snacks,56.00,56.00,95.14,39.14
Kiss Me 美睫滋润增长液 精华液,beauty,9.00,86.40,125.37,38.97
FANCL芳珂 美白丸 30日分 (新版),beauty,3.00,75.00,113.97,38.97
优雅咖啡下午茶套装 树叶花纹茶具 6杯6碟1壶,life,2.00,21.02,59.98,38.96
Jellycat 害羞龙柔软毛绒玩具,maternal,10.00,162.37,201.32,38.95
日本 无添加主义 HABA 角鲨烷精华 氨基酸洁面粉 80g,beauty,5.00,81.00,119.95,38.95
小林制药 儿童身体用退热贴 14片 物理降温,maternal,27.00,190.40,229.29,38.89
大王 Goo.n 男女宝宝用婴儿纸尿裤 透气舒适系列跳跳裤 L码 9~14kg 44枚,maternal,4.00,84.52,123.40,38.88
TESCOM 多功能造型超静音抗菌卷发器 (TB63/TB61),appliances,2.00,76.10,114.97,38.87
KissMe 花漾美姬细睫控360°零死角睫毛膏 4.5g,beauty,4.00,53.10,91.96,38.86
巧媳妇 JD-C001多功能厨房剪 75mm剪刃长度,life,7.00,23.31,62.16,38.85
It's Skin 胶原蛋白弹力精华 40ml,beauty,15.00,109.61,148.45,38.84
POLA 黑BA 活性精华液 40ml 自净循环,beauty,1.00,146.17,185.00,38.83
【樱花限量】JAYJUN 密集焕白精华水乳套装 4件装,beauty,4.00,128.00,166.79,38.79
雷柏Rapoo 8000 2.4G无线键鼠套装,appliances,2.00,25.20,63.98,38.78
乐敦 小红花Lycee 隐形眼镜滋润眼药水 8ml,beauty,16.00,145.50,184.20,38.70
金泰康艾草泡脚粉,life,16.00,13.00,51.60,38.60
佳诺 一次性卫生桌布 140x140cm 10张,life,15.00,19.50,58.10,38.60
HESEN 全棉床上用品 轩尼诗 - 绿,life,2.00,71.40,109.98,38.58
日本 TOKYO LOVE 私处美白手工皂 深层清洁 抑菌保养 升级版,beauty,25.00,450.91,489.49,38.58
EverShine 小黄鸭柔软童巾 25x48cm,life,15.00,18.75,57.32,38.57
芳珂 无添加紧致凝亮眼霜 8g,beauty,5.00,89.75,128.29,38.54
日本 AVANCE 睫毛增长液 眉毛增长液 7ml,beauty,15.00,256.17,294.66,38.49
【2 for $25】It's Skin伊思透明质酸锁水保湿爽肤水150ml,beauty,6.00,48.60,87.07,38.47
美迪惠尔 V.T.R紧致提拉V脸面膜 4片,beauty,11.00,71.50,109.89,38.39
【大瓶装】Kerasys 无硅油持久留香洗发水 两款香味可选 600ml,beauty,11.00,71.50,109.89,38.39
【澄雪限量款-加强滋润版】日本 雪肌精 化妆水 500ml,beauty,3.00,207.00,245.38,38.38
小米 户外无线迷你便携 蓝牙小音响 (金属银/香槟金/星空灰),appliances,4.00,67.04,105.42,38.38
BCL BROWLASH EX美人眉双头旋转眉笔眉粉液笔,beauty,5.00,59.95,98.29,38.34
POLA 花语香氛系列 玫瑰百合沐浴露150ml×2+身体乳40g×2 限量版套装,beauty,4.00,147.32,185.64,38.32
Good Feel卫生棉 蓝色 28cm,life,12.00,57.60,95.88,38.28
奇果屋 四组时尚调味盒 3色入,life,9.00,27.36,65.64,38.28
芬龄 超自然防过敏双眼皮贴,beauty,19.00,14.25,52.52,38.27
MILBON DEESSE'S 前男友发膜 (#MU4X深蓝/#MU4+中蓝/#MU4浅蓝) 4支 日本版,beauty,12.00,86.64,124.89,38.25
小米 便携无线迷你鼠标 (黑色/白色),appliances,11.00,180.89,219.14,38.25
Hamilton Beach 胶囊Espresso咖啡机 40725,appliances,1.00,141.75,179.99,38.24
大正制药 爱丽丝CL-I人工泪液滴眼液 0.4ml*30支,beauty,8.00,77.60,115.83,38.23
田七 特效中药牙膏 100g,beauty,30.00,28.50,66.73,38.23
巧媳妇 加厚不锈钢塑柄家用剪刀 L-001,life,9.00,25.56,63.78,38.22
虎牌 双层真空保温饭盒 LWR-A072 550毫升,life,4.00,179.28,217.47,38.19
IROHA 典雅 女用自慰器 富士柠檬 迷你跳蛋,beauty,4.00,78.78,116.96,38.18
Saborino 懒人60秒舒活植物早安面膜 敏感肌适用 28片,beauty,55.00,666.60,704.76,38.16
小米 Micro usb转Type-c二合一高速充电线 1m,appliances,5.00,26.25,64.35,38.10
雪肌精 美白黑面膜 清洁毛孔,beauty,4.00,93.60,131.66,38.06
【清新基础版】小米 入耳式活塞耳机 (亚光黑/亚光蓝/亚光银),appliances,5.00,34.95,72.95,38.00
韩国 兰芝 青柠果冻睡眠唇膜 20g,beauty,5.00,70.00,107.98,37.98
Abib亮白紧致柔雾感气垫SPF50+ PA+++,beauty,2.00,54.00,91.98,37.98
沛丽康 For Back 美背祛痘 肥皂+喷雾,beauty,13.00,161.15,199.10,37.95
Leaders Amino Clearing Mask 10-sheet 丽得姿 氨基酸收缩净肤面膜 10片,beauty,6.00,77.00,114.94,37.94
日本狮王 草本EX渗透牙膏  医药清凉味 130g,life,13.00,57.07,95.00,37.93
雪花秀 臻秀修护活颜水乳套装,beauty,8.00,1295.60,1333.46,37.86
韩国 3CE三熹玉 「Take a layer」水光唇釉系列,beauty,4.00,60.88,98.70,37.82
【2019COSME大赏1位】UZU 熊野职人彩色眼线液笔 0.55ml,beauty,52.00,913.66,951.48,37.82
芬芳 袜子洗衣袋 (22cm x 17cm),life,22.00,19.80,57.62,37.82
超炫酷 B28S升级版蓝牙音响,life,4.00,75.88,113.61,37.73
雪肌精 柔护洁肤卸妆油 植物精粹温和无刺激,beauty,6.00,104.40,142.11,37.71
曼丹 Bifesta 眼唇卸妆液 cosme大赏冠军,beauty,10.00,90.12,127.82,37.70
ROYD 网红护发锁色 洗护套装 洗发水+护发素 300ml,beauty,3.00,104.40,142.08,37.68
拉美拉 一次性环保浴巾&毛巾 各1条,life,15.00,28.20,65.85,37.65
ST 小鸡仔 2倍酵素配除臭剂 厕所马桶除臭,life,14.00,84.00,121.65,37.65
狮王 面包超人 儿童牙刷 6~12岁 单支,maternal,113.00,117.16,154.74,37.61
毛穴抚子 小苏打洁颜粉 100g,beauty,20.00,288.00,325.57,37.57
RS 一次性三层防护口罩 50个/盒,life,57.00,177.84,215.40,37.56
地球制药 安速婴儿童驱蚊贴 72枚,beauty,7.00,63.56,101.12,37.56
HACCI 蜂蜜美容皂 美白保湿洁面皂,beauty,8.00,538.51,576.07,37.56
花王 布料家具地毯清洁布 8枚入,life,8.00,56.28,93.75,37.47
蒂佳婷 锁水保湿营养霜企鹅套盒,beauty,3.00,99.00,136.45,37.45
ALOBABY 天然有机儿童润肤乳液 保湿面霜 150ml,maternal,4.00,96.00,133.45,37.45
日本UV CUT全方位防晒冰袖 黑色,beauty,7.00,75.95,113.39,37.44
韩国Dermal祛黑头粉刺撕拉面膜 50g,beauty,8.00,36.46,73.86,37.40
DHC 美肌胶原蛋白片,beauty,29.00,313.86,351.22,37.36
白家陈记成都甜水面 桶装 270G,snacks,24.00,72.00,109.30,37.30
【意大利制】Selex 陶瓷涂层 浅汤锅 典雅蓝色,life,3.00,24.48,61.76,37.28
珂润 敏感肌保湿温和防晒乳 物理防晒 SPF50 60ml,beauty,10.00,172.50,209.73,37.23
SUQQU 毛孔洁净菁华 去黑头神器 50ml,beauty,2.00,99.46,136.64,37.20
肌美精3D立体超浸透保湿面膜 三款可选 4片装,beauty,49.00,520.19,557.33,37.14
LG 持久留香 香水身体乳,beauty,15.00,128.36,165.49,37.13
后 拱辰享 水妍平衡水乳液面霜6件套装,beauty,2.00,266.00,303.10,37.10
韩国FORBELI磁石奇迹面膜细致毛孔套盒,beauty,1.00,63.00,99.99,36.99
日本PLIFT VP 胎盘素精华面霜 50g,beauty,1.00,66.00,102.99,36.99
小米 米家wiha精修螺丝工具套装,appliances,6.00,139.44,176.39,36.95
It's Skin 能量10安瓶系列 集中护肤 大容量60ml,beauty,8.00,128.00,164.92,36.92
SM-6802顺美 快乐熊系列 四组调味盒,life,7.00,32.48,69.39,36.91
【2019COSME大赏】ROSETTE 海泥毛孔清洁洗面奶 120g,beauty,17.00,95.01,131.90,36.89
小米 无线充电器（通用快充版）快充 / 便携 / 智能安全,life,4.00,75.60,112.46,36.86
贝亲 婴儿粉色花香泡沫洗发水 350ml,maternal,25.00,221.45,258.29,36.84
老孙家新款西安泡馍四连包 羊肉味 / 牛肉味 648G,Snacks,22.00,122.60,159.38,36.78
虎牌 保温饭盒套装 LWU-B200 银色 1.41升,life,4.00,183.20,219.96,36.76
川琦儿 甜心迷你气囊梳,life,10.00,17.60,54.35,36.75
沂蒙公社 零添加地瓜干 300g,snacks,89.00,267.00,303.73,36.73
韩国 Medi-Peel 美蒂菲 烟酰胺3效祛斑霜,beauty,4.00,60.92,97.61,36.69
【买1送1】MISE EN SCENE完美修复发油喷雾,beauty,14.00,131.19,167.86,36.67
ARAX 防花粉尘过敏抗菌口罩 可洗可多次使用 白色 3pcs,life,13.00,88.63,125.22,36.59
小林制药 婴儿退热贴 发烧退烧贴 12片装,maternal,39.00,295.07,331.64,36.57
Chocola BB 玻尿酸神经酰胺口服液 50mlx10,beauty,9.00,445.41,481.98,36.57
HOUSE 香脆玉米角,snacks,69.00,207.00,243.56,36.56
未来 Hello Kitty电子驱蚊手表 天然植物儿童用,maternal,12.00,168.80,205.35,36.55
日本三洋食品 SAPPORO ICHIBAN 味噌拉面 5包入 505g,Snacks,31.00,129.30,165.73,36.43
GIK 胶原抚纹眼膜,beauty,2.00,55.57,91.96,36.39
标奇 BIAO QI 鞋袜除臭剂 鞋子脚汗杀菌除味喷雾 100ml,life,15.00,23.10,59.48,36.38
LAVONS 女神必备 持久留香洗衣液含柔顺剂 500ml,life,31.00,253.20,289.56,36.36
日本 糖果瓷娃娃 提亮妆前乳隔离霜薰衣草 30g 紫色,beauty,5.00,81.10,117.45,36.35
ZERIA眼药水 Viewclear VITA CONTACT 隐形眼镜两用 10ml,life,7.00,54.60,90.93,36.33
UYEKI除螨清洁喷雾250ml 无香型,life,4.00,43.68,79.96,36.28
卡乐比 热浪香辣薯片 105g,snacks,32.00,76.80,113.05,36.25
贝亲 婴幼儿啫喱牙膏 原味 50g,maternal,17.00,94.29,130.45,36.16
有友 山椒竹笋 泡椒蔬菜下饭菜 重庆特产 120g,snacks,51.00,60.78,96.87,36.09
卫龙 泡椒脆笋 酸辣爽脆,snacks,36.00,108.00,144.07,36.07
Naturie薏仁无添加洗面奶 150g,beauty,12.00,79.20,115.24,36.04
多功能智能海豚按摩器 电脑版,life,2.00,23.96,59.98,36.02
日本版肌肤之钥 CPB光凝妆前霜 长管  40g,beauty,2.00,174.00,210.00,36.00
美耐2升电动绞肉机 切碎机400W,appliances,2.00,84.00,119.98,35.98
小米 米家 驱蚊器智能版 90晚长效守护,life,6.00,90.00,125.94,35.94
日出茶太 奶茶冲饮 三合一即溶 200g,snacks,12.00,84.00,119.91,35.91
开心过年福字贴-圆圆满满,life,9.00,0.00,35.91,35.91
RNW 氨基酸洁面慕斯洗面奶 200ml,beauty,6.00,126.00,161.88,35.88
KAO花王 速干地板清洁剂 400ml,life,14.00,73.37,109.24,35.87
悦诗风吟 无油光天然薄荷矿物控油蜜粉饼 8.5g,beauty,5.00,42.50,78.36,35.86
拉美拉 柔软双色组合化妆棉 550片/盒,beauty,12.00,21.84,57.70,35.86
磁石折叠 跳跳棋,life,7.00,16.45,52.29,35.84
GEKKA 收缩毛孔 补水美白 免洗面膜 80g,beauty,9.00,263.52,299.34,35.82
高丝 Jelaime氨基酸深层滋养修复发膜 200g,beauty,25.00,444.59,480.36,35.77
双层杯青花瓷陶瓷七件套,life,2.00,18.24,53.98,35.74
小米 米家声波电动牙刷 DDYS01SKS 白色 / 备用刷头,appliances,5.00,122.84,158.56,35.72
KM 硅胶头发过滤地漏,life,18.00,24.30,59.99,35.69
【一秒瘦腿】SALUA 加厚瘦腿塑形连裤袜,life,7.00,66.33,102.01,35.68
HQ 不锈钢电热水壶 1.2L 1200W HK1201,appliances,3.00,69.30,104.97,35.67
【2019COSME殿堂奖】NATURIE 薏仁保湿水凝霜 180g,beauty,9.00,108.00,143.64,35.64
保温咖啡杯 多色混发 350ml,life,8.00,44.32,79.92,35.60
【范爷自用推荐】Svelty糖质分解酵母抗糖粉末酵素 30包,beauty,2.00,62.40,97.98,35.58
日本乐敦 柑橘香味 维他命CC美白保湿化妆水 100g,beauty,7.00,78.28,113.84,35.56
俄罗纳英H软膏30g,life,5.00,39.40,74.95,35.55
小米 米家智能床头灯2代 国际版 色温亮度自由调节,appliances,2.00,94.50,129.98,35.48
立白 经典多效衣物漂白水 600ml,life,12.00,25.92,61.38,35.46
TENGA女用自慰振动棒 风月金,beauty,2.00,67.20,102.58,35.38
PUELLA 强制提升罩杯丰胸霜 胸部增大按摩霜 100g,beauty,5.00,141.00,176.35,35.35
小林制药 萨拉三十棉布100 天然有机棉护垫(无香料) 56个装,beauty,12.00,57.60,92.86,35.26
花王Kao 衣物除皱除异味防静电喷雾 200ml,life,22.00,108.80,144.04,35.24
Canmake井田 花漾瑰丽五色腮红(带刷),beauty,5.00,52.91,88.15,35.24
玻璃油壶 小号 550ml,life,9.00,24.93,60.15,35.22
简易 50ml 喷瓶,life,33.00,12.54,47.75,35.21
【COSME殿堂奖】MINON 氨基酸乳液 100克,beauty,8.00,201.24,236.40,35.16
数字扇形人体秤,appliances,3.00,21.87,56.97,35.10
自然乐园 芦荟保湿洁面泡沫 150ml,beauty,31.00,109.12,144.22,35.10
Jellycat 欢乐小白云柔软毛绒玩具,maternal,14.00,280.64,315.72,35.08
WONDER BOMB 夜间强化乳房细胞美乳霜丰胸霜 100g,beauty,8.00,251.16,286.21,35.05
上海 蜂花檀香皂,life,21.00,23.31,58.35,35.04
日本 TESCOM 负离子两用夹直板卷发棒 ITH1605 330g 粉色,appliances,1.00,55.00,89.99,34.99
欧雅 隔渣煲汤袋/火锅调料袋 双层缝制 23cmX18cm 100%纯棉 1pc,life,37.00,17.71,52.69,34.98
红莲牌 100%纯樟木珠防蛀衣宝  衣柜防蛀必备良品,life,20.00,24.28,59.20,34.92
大正制药 口腔溃疡治疗 速溶含片 24粒,life,5.00,58.50,93.42,34.92
绿叶强力蟑螂药 5g,life,11.00,4.70,39.60,34.90
TENGA异次元FLIP HOLE飞机杯,beauty,1.00,65.10,99.99,34.89
美耐1升电动绞肉机 切碎机400W,appliances,2.00,65.10,99.98,34.88
韩国一洋药业 乳酸菌19种复合肠道活性益生菌,life,4.00,66.48,101.36,34.88
小林制药 扁桃体口腔炎颗粒 9包,beauty,4.00,58.80,93.56,34.76
Laundrin 植物系香薰片 衣柜除味 出风口摆件,life,18.00,70.20,104.96,34.76
韩国 兰芝 草莓果冻睡眠唇膜 20g,beauty,9.00,126.75,161.41,34.66
韩国 3ce三熹玉 百搭三色眼影,beauty,3.00,63.93,98.57,34.64
小岛 奶酪熏制鱿鱼海胆 17g,snacks,107.00,246.10,280.74,34.64
养生经络拍按摩器  内赠筋穴部位图,life,9.00,28.08,62.72,34.64
Cuisinart 2速手提 300瓦大功率 电动搅拌棒 CSB-85C,appliances,2.00,98.40,132.99,34.59
绿光 插卡大铲 炒菜铲 木铲 39cm,life,12.00,16.08,50.65,34.57
大王 elis 金装绵柔护翼卫生巾 23cm 22片 干爽网面 量多日用,beauty,11.00,86.35,120.89,34.54
White Mouth 小白鼠乳酸菌小苏打牙膏 2款入,beauty,15.00,207.00,241.50,34.50
金泰康益母草泡脚粉,life,14.00,11.30,45.68,34.38
发财男袜 一双 06# 本命年踩小人红袜福袜,life,27.00,15.84,50.20,34.36
日本 ST小白鞋清洁剂 240ml,life,6.00,60.00,94.34,34.34
小欢乐过新年斗方金牛贺岁,life,10.00,5.52,39.83,34.31
兰芝 夜间修护睡眠面膜  70ml,beauty,4.00,92.50,126.79,34.29
小米 超薄便携大容量金属冲电宝/移动电源 10000毫安 (银色/黑色),appliances,7.00,146.65,180.93,34.28
Canmake 高保湿防晒口红 丝润丰润唇膏 持久显色不掉色,beauty,16.00,154.17,188.37,34.20
水池置物架 混色发货,life,22.00,21.62,55.81,34.19
Momopuri 乳酸菌蜜桃精华啫喱面霜 深层滋润 80g,beauty,42.00,473.34,507.52,34.18
【出口版】好欢螺 柳州螺狮粉 300克/包,snacks,36.00,108.00,142.18,34.18
COCOCHI AG 抗糖保湿亮白珍珠面膜 5片装,beauty,6.00,112.92,147.07,34.15
卫龙 亲嘴烧 多彩混合装 300g,snacks,21.00,60.00,94.10,34.10
龙角散 草本润喉薄荷糖 独立包装,snacks,112.00,433.27,467.33,34.08
HOUSE 意粉调味酱 130g,snacks,93.00,190.90,224.98,34.08
【2019COSME大赏】ELIXIR 抗皱精华眼霜 抚平眼纹 15g,beauty,7.00,632.62,666.65,34.03
日式精选 浴室毛发过滤网片 厨房防堵贴纸 圆形排水口网 15片装,life,29.00,22.92,56.93,34.01
VT小布丁 蜂蜜黄金涂抹面膜 5g*10,beauty,4.00,60.00,93.90,33.90
0804吸黑头器,appliances,2.00,27.08,60.96,33.88
【张柏芝力荐】VN 铂金包防晒霜 SPF50+ 高颜值风靡小红书,beauty,12.00,301.05,334.91,33.86
长方形一次性烘焙纸 防粘防油 10入,life,18.00,17.64,51.43,33.79
HESEN 全棉床上用品 追梦少女 - 粉,life,2.00,46.20,79.98,33.78
FANCL芳珂 HTC胶原蛋白粉末 10pcs,beauty,6.00,78.00,111.78,33.78
TUNEMAKERS Vc-3诱导体白皙精华原液 10ml,beauty,18.00,228.99,262.74,33.75
LoveLiner 随心所欲 眼线液笔 持久不晕染极细防水 5色入,beauty,6.00,96.00,129.75,33.75
金泰康藏红花泡脚粉,life,14.00,11.30,45.02,33.72
良品铺子 香辣味海带脆笋 鲜上加鲜 160g,snacks,43.00,104.90,138.61,33.71
ICHIKAMI 洗发水+护发素套装 丝滑柔顺护理系列 480ml+480g,beauty,9.00,131.31,164.98,33.67
Kero Kero 隔热盘夹 白色/绿色,life,33.00,55.11,88.75,33.64
Tarami 蒟蒻 条形果冻 提子味/芒果味/苹果味,snacks,124.00,223.20,256.82,33.62
【减龄神器】CHEZ MOI 蓝紫根 法令纹魔术棒 6g,beauty,5.00,96.00,129.55,33.55
横山制药 软化角质鸡眼液老茧液 6ml,life,7.00,63.00,96.53,33.53
Momopuri 乳酸菌蜜桃精华果冻面膜 4片,beauty,36.00,230.97,264.43,33.48
韩国 丽得姿 婴儿去角质撕拉足膜 5pcs,beauty,4.00,64.00,97.47,33.47
家用果蔬刨 刨丝器 萝卜刨,life,11.00,23.65,57.06,33.41
振兴 玻璃油壶 630ml,life,9.00,22.48,55.84,33.36
佐藤制药 Q10胶原蛋白美容口服液 30mlx10瓶,beauty,12.00,273.60,306.96,33.36
肌肤之钥 CPB光采日间防护乳 125ml,beauty,2.00,264.66,298.00,33.34
黑妹 天然野菊花牙膏 1pc,beauty,65.00,51.35,84.63,33.28
便携式 可爱蝴蝶结不锈钢餐具三件套(叉子+筷子+勺子)多色可选,life,9.00,13.59,46.86,33.27
大正制药 综合感冒药PRO片 36粒,life,3.00,56.70,89.97,33.27
韩国 3CE三熹玉 柔软亲肤修容,beauty,4.00,56.40,89.66,33.26
谜尚 热能瘦身凝胶 200ml,beauty,6.00,53.94,87.19,33.25
【2019COSME大赏】大创 海绵粉扑气垫清洗剂 美妆蛋彩妆蛋清洗剂 80ml,beauty,27.00,112.05,145.28,33.23
Vitaful 胶原蛋白美容电子烟 零尼古丁 超强薄荷系列,beauty,5.00,65.00,98.21,33.21
康耐尔 专业蒸汽卷发棒 CD124C,appliances,3.00,26.79,59.94,33.15
泡茶壶 五件套,life,6.00,21.78,54.92,33.14
鑫雅 印花支架文胸护洗袋 内衣保护袋 1个,life,15.00,20.85,53.98,33.13
It's Skin 晶钻蜗牛洁面乳 150ml,beauty,7.00,94.50,127.57,33.07
【牛尔老师力荐】资生堂尿素配合保湿身体乳,beauty,10.00,75.59,108.66,33.07
宅宝贝 Q1 桌面小电脑音箱 子弹头蓝牙音箱,appliances,3.00,23.01,56.07,33.06
MiYOSHI 无添加泡沫洗手液 250ml,beauty,9.00,47.85,80.91,33.06
拉杜丽 经典仕女浮雕彩妆刷桶,beauty,3.00,132.72,165.76,33.04
大正药业 结膜炎对策眼药水 18入,life,6.00,55.44,88.47,33.03
北美转换插头,appliances,15.00,10.05,43.08,33.03
HACCI 蜂蜜卸妆油 温和卸妆 150ml,beauty,5.00,215.77,248.80,33.03
蓝紫根 颈部护理膏 亮白抗皱去黑色素 淡化颈纹 30g,beauty,5.00,114.00,146.95,32.95
博卡 日本原味 即溶速食浓汤 低卡健康！,snacks,215.00,752.50,785.45,32.95
PILLBOX 干杯解酒丸 姜黄提取增强酒力防宿醉,life,30.00,105.00,137.94,32.94
MINON 氨基酸保湿弹性滋润面膜 4枚入,beauty,6.00,99.00,131.94,32.94
Aqua Queana 毛孔清洁仪 去黑头神器,beauty,1.00,92.07,125.00,32.93
顺适 油隔网勺,life,25.00,18.08,50.99,32.91
Saborino 懒人60秒美白早安面膜 奇异果 28片,beauty,64.00,785.52,818.43,32.91
日本Daiso 清香除臭珠 薰衣草香味 300g,life,12.00,25.08,57.88,32.80
白家陈记 阿宽非油炸 四川铺盖面 综合装 4包入 450g,snacks,24.00,91.20,123.97,32.77
VT CICA 老虎洗面奶 330ml,beauty,7.00,70.00,102.73,32.73
【精品套装】玻璃茶具5件套   一壶四杯,life,3.00,12.24,44.97,32.73
【加拿大制造】DELON 70%消毒酒精  450ml,life,60.00,173.40,206.11,32.71
毛穴抚子 男士专用 小苏打去黑头洁面乳 100g,beauty,24.00,300.00,332.70,32.70
Vitaful 胶原蛋白美容电子烟 零尼古丁 夏季限定,beauty,5.00,65.00,97.70,32.70
惠之本铺 无添加温泉水玻尿酸面膜 5片/盒,beauty,4.00,50.40,83.07,32.67
悦诗风吟 绿茶籽眼霜30ml,beauty,3.00,63.00,95.67,32.67
韩国 香蒲丽 保湿焕采植物精华防晒霜 Spf50+Ap++++ 50ml,beauty,4.00,72.00,104.63,32.63
和肌美泉 和汉萃取美肌酒粕面膜,beauty,8.00,105.60,138.17,32.57
APIEU Naked 去角质凝胶系列 100ml,beauty,10.00,65.90,98.40,32.50
韩国 3CE三熹玉 细管丝绒口红,beauty,3.00,54.48,86.97,32.49
奇多 真鲜虾片 口口香脆 55g,snacks,60.00,90.00,122.49,32.49
CALBEE卡乐比 JAGARICO 袋装土豆脆棒,snacks,36.00,72.00,104.48,32.48
【新版】POLA GRAND CHARGE 植物酵素原液 便携装 10mlx30袋,beauty,6.00,389.17,421.63,32.46
MARO Groovy 男士泡沫洗颜慕斯 两款可选 150ml,beauty,12.00,72.65,105.07,32.42
娜丽丝清洁毛孔祛黑头面膜 20g,beauty,6.00,39.54,71.94,32.40
韩国原产34cm不粘炒锅,life,2.00,33.60,65.98,32.38
山田养蜂场 天然巴西绿蜂胶美白牙膏,beauty,3.00,57.60,89.97,32.37
METABOLIC 酵素酵母 天然植物果蔬酵素 30回60粒,beauty,5.00,78.00,110.35,32.35
防滑桌脚垫 毛毡/Eva材质 静音加厚耐磨 多尺寸,life,45.00,14.42,46.66,32.24
典雅 男女情趣 水溶性润滑油 浓厚型 170ml 白色,beauty,6.00,85.14,117.35,32.21
Mama&Kids 婴儿泡沬洗发液 弱酸性滋润 370ml,maternal,3.00,78.00,110.18,32.18
POLA 黑BA 重塑紧致眼霜 26g,beauty,1.00,192.86,224.99,32.13
日本白兔牌 加强版淡斑美白丸 180粒,beauty,3.00,71.46,103.58,32.12
6553双层保温饭盒1.5L 多色混发,life,2.00,27.88,59.96,32.08
23 YEARS OLD 祛痘无痕霜 去角质膏 30g,beauty,8.00,96.00,128.07,32.07
Jellycat 趣味彩虹柔软毛绒玩具 32cm,maternal,4.00,68.67,100.70,32.03
iPhone闪粉流沙冰淇淋手机壳（适用Xs Max／Xs／XR／X）,appliances,64.00,0.00,32.00,32.00
Kiss Me 自动旋转免削眉笔 极细防水,beauty,10.00,60.00,92.00,32.00
小米有品 FED 双轴承可调竞速钢丝跳绳,life,4.00,84.00,116.00,32.00
碧柔 微米超丰富泡沫慕斯洗面奶 150ml,beauty,7.00,76.93,108.93,32.00
KM 透明桌边防撞胶条,maternal,44.00,71.28,103.26,31.98
Dr.Jart+ 金猪送福典藏限量套盒 V7素颜霜,beauty,4.00,160.00,191.98,31.98
Laundrin 樱花限定 衣物柔顺剂／香氛,life,14.00,100.38,132.31,31.97
优适家品 双杯简约情侣牙刷座,life,8.00,20.76,52.72,31.96
虎牌 极轻量不锈钢保温保冷杯 MMZ-A050 500毫升,life,5.00,121.80,153.75,31.95
Kiss Me 瞬翘自然卷防水睫毛膏,beauty,13.00,182.00,213.92,31.92
【意大利制】Alluflon 陶瓷涂层 双耳不粘锅,life,4.00,32.64,64.55,31.91
【COSME殿堂奖】NAIAD 摩洛哥高岭土粘土清洁面膜 块状 150g (送面膜碗),beauty,16.00,150.72,182.63,31.91
卓乐 不锈钢内胆滤网花茶壶 茶艺壶 700ml ZL-180,life,3.00,17.58,49.47,31.89
赏靓 香味洗手液系列 500g,life,18.00,27.36,59.22,31.86
大汉口热干面8连包 原味 / 湘味 / 川味 102g,Snacks,19.00,114.00,145.83,31.83
FANCL 纤体热控片 控糖抑脂 120粒,beauty,3.00,49.20,80.97,31.77
沂蒙公社 板栗仁 100g,snacks,50.00,115.00,146.73,31.73
LETEN 雷霆 ONE 臀感真空 飞机杯 002九重玉涡,life,1.00,18.30,49.99,31.69
2021牛年公仔 30cm财运亨通牛毛公仔,life,3.00,16.30,47.97,31.67
"Hamilton Beach 旗下 ProctorSilex 可调温电煎锅 (12"" X 12"") 1200瓦 38526C",appliances,1.00,38.33,69.99,31.66
FarmStay 蜗牛保湿四件套,beauty,4.00,67.16,98.72,31.56
UNNY CLUB 多重防护修颜隔离霜,beauty,8.00,100.00,131.54,31.54
4碗4筷礼盒装,life,5.00,23.45,54.95,31.50
花王浴室浴缸泡沫清洁喷雾380ml  玫瑰香,life,12.00,53.28,84.77,31.49
爱茉莉 持久香氛沐浴露 900g,beauty,8.00,56.35,87.82,31.47
北京一得阁墨汁250ml,life,7.00,14.70,46.13,31.43
传统花草灯笼,life,28.00,15.91,47.32,31.41
苏菲 Center-in 1/2口袋便携卫生巾 白皂香,beauty,10.00,46.91,78.30,31.39
高丝Kose Jelaime氨基酸修护发膜(深层滋润) 230g,beauty,6.00,61.56,92.92,31.36
Nissin 日清早餐玉米片,snacks,18.00,66.24,97.58,31.34
MRS.HELPER 真空压缩袋 多尺寸可选,life,13.00,17.13,48.46,31.33
资生堂沁润臻致滋润洗护套装490ml*2,beauty,2.00,24.66,55.98,31.32
Chocola BB VC全身美白丸 180粒,beauty,9.00,339.07,370.39,31.32
瓜果去籽挖球二合一 省力不伤手,life,15.00,15.90,47.19,31.29
日本 LAGGIE 清爽去屑spa无硅洗发水 400ml 绿色,beauty,6.00,79.20,110.46,31.26
子弹头保温杯500ml 保温8-12H,life,9.00,33.03,64.27,31.24
兰芝 保湿滋养洗面奶 150ml,beauty,4.00,64.00,95.22,31.22
资生堂 优悦活颜弹润睡眠面膜 植香限量版 105g,beauty,6.00,216.00,247.18,31.18
KM 强力吸盘 3款入,life,14.00,20.12,51.29,31.17
花王乐而雅 内衣裤洗涤剂 80ml,beauty,12.00,61.80,92.92,31.12
苏菲 Center-in 1/2口袋便携卫生巾 香甜白玫瑰,beauty,10.00,43.60,74.71,31.11
